Info;Data;tick
Relatorio 12 meses Rec Serviços;74.558.000;BRIV4
Relatorio 3 meses Rec Serviços;16.924.000;BRIV4
Relatorio 12 meses Result Int Financ;136.592.000;BRIV4
Relatorio 3 meses Result Int Financ;5.150.000;BRIV4
Papel;BRKM3;BRKM3
Cotação;26,05;BRKM3
Tipo;ON N1;BRKM3
Data últ cot;19/07/2023;BRKM3
Empresa;BRASKEM ON N1;BRKM3
Min 52 sem;18,82;BRKM3
Setor;Químicos;BRKM3
Max 52 sem;38,50;BRKM3
Subsetor;Petroquímicos;BRKM3
Vol $ méd (2m);989.592;BRKM3
Valor de mercado;20.767.300.000;BRKM3
Últ balanço processado;31/03/2023;BRKM3
Valor da firma;43.193.000.000;BRKM3
Nro. Ações;797.208.000;BRKM3
Dia;3,52%;BRKM3
P/L;-5,15;BRKM3
LPA;-5,06;BRKM3
Mês;-10,17%;BRKM3
P/VP;2,65;BRKM3
VPA;9,82;BRKM3
30 dias;-11,39%;BRKM3
P/EBIT;10,31;BRKM3
Marg. Bruta;8,1%;BRKM3
12 meses;-24,93%;BRKM3
PSR;0,23;BRKM3
Marg. EBIT;2,3%;BRKM3
2023;3,09%;BRKM3
P/Ativos;0,23;BRKM3
Marg. Líquida;5,1%;BRKM3
2022;-53,66%;BRKM3
P/Cap. Giro;1,65;BRKM3
EBIT / Ativo;2,2%;BRKM3
2021;154,61%;BRKM3
P/Ativ Circ Liq;0,45;BRKM3
ROIC;3,2%;BRKM3
2020;-20,04%;BRKM3
Div. Yield;0,0%;BRKM3
ROE;51,6%;BRKM3
2019;-28,82%;BRKM3
EV / EBITDA;6,20;BRKM3
Liquidez Corr;1,52;BRKM3
2018;8,23%;BRKM3
EV / EBIT;21,45;BRKM3
Div Br/ Patrim;4,94;BRKM3
Cres. Rec (5a);17,5%;BRKM3
Giro Ativos;0,99;BRKM3
Ativo;90.449.500.000;BRKM3
Dív. Bruta;38.637.200.000;BRKM3
Disponibilidades;16.211.500.000;BRKM3
Dív. Líquida;22.425.700.000;BRKM3
Ativo Circulante;36.636.700.000;BRKM3
Patrim. Líq;7.826.800.000;BRKM3
Relatorio 12 meses Lucro Líquido;-4.035.100.000;BRKM3
Relatorio 3 meses Lucro Líquido;184.442.000;BRKM3
Relatorio 12 meses EBIT;2.013.550.000;BRKM3
Relatorio 3 meses EBIT;-202.452.000;BRKM3
Relatorio 12 meses Receita Líquida;89.233.900.000;BRKM3
Relatorio 3 meses Receita Líquida;19.446.000.000;BRKM3
Papel;BRKM5;BRKM5
Cotação;24,72;BRKM5
Tipo;PNA N1;BRKM5
Data últ cot;19/07/2023;BRKM5
Empresa;BRASKEM PNA N1;BRKM5
Min 52 sem;16,64;BRKM5
Setor;Químicos;BRKM5
Max 52 sem;37,60;BRKM5
Subsetor;Petroquímicos;BRKM5
Vol $ méd (2m);117.494.000;BRKM5
Valor de mercado;19.707.000.000;BRKM5
Últ balanço processado;31/03/2023;BRKM5
Valor da firma;42.132.700.000;BRKM5
Nro. Ações;797.208.000;BRKM5
Dia;3,40%;BRKM5
P/L;-4,88;BRKM5
LPA;-5,06;BRKM5
Mês;-14,85%;BRKM5
P/VP;2,52;BRKM5
VPA;9,82;BRKM5
30 dias;-17,60%;BRKM5
P/EBIT;9,79;BRKM5
Marg. Bruta;8,1%;BRKM5
12 meses;-27,21%;BRKM5
PSR;0,22;BRKM5
Marg. EBIT;2,3%;BRKM5
2023;4,04%;BRKM5
P/Ativos;0,22;BRKM5
Marg. Líquida;5,1%;BRKM5
2022;-57,11%;BRKM5
P/Cap. Giro;1,57;BRKM5
EBIT / Ativo;2,2%;BRKM5
2021;176,31%;BRKM5
P/Ativ Circ Liq;0,42;BRKM5
ROIC;3,2%;BRKM5
2020;-21,04%;BRKM5
Div. Yield;0,0%;BRKM5
ROE;51,6%;BRKM5
2019;-35,24%;BRKM5
EV / EBITDA;6,05;BRKM5
Liquidez Corr;1,52;BRKM5
2018;12,72%;BRKM5
EV / EBIT;20,92;BRKM5
Div Br/ Patrim;4,94;BRKM5
Cres. Rec (5a);17,5%;BRKM5
Giro Ativos;0,99;BRKM5
Ativo;90.449.500.000;BRKM5
Dív. Bruta;38.637.200.000;BRKM5
Disponibilidades;16.211.500.000;BRKM5
Dív. Líquida;22.425.700.000;BRKM5
Ativo Circulante;36.636.700.000;BRKM5
Patrim. Líq;7.826.800.000;BRKM5
Relatorio 12 meses Lucro Líquido;-4.035.100.000;BRKM5
Relatorio 3 meses Lucro Líquido;184.442.000;BRKM5
Relatorio 12 meses EBIT;2.013.550.000;BRKM5
Relatorio 3 meses EBIT;-202.452.000;BRKM5
Relatorio 12 meses Receita Líquida;89.233.900.000;BRKM5
Relatorio 3 meses Receita Líquida;19.446.000.000;BRKM5
Papel;BRKM6;BRKM6
Cotação;18,86;BRKM6
Tipo;PNB N1;BRKM6
Data últ cot;30/06/2023;BRKM6
Empresa;BRASKEM PNB N1;BRKM6
Min 52 sem;15,91;BRKM6
Setor;Químicos;BRKM6
Max 52 sem;30,00;BRKM6
Subsetor;Petroquímicos;BRKM6
Vol $ méd (2m);3.019;BRKM6
Valor de mercado;15.035.300.000;BRKM6
Últ balanço processado;31/03/2023;BRKM6
Valor da firma;37.461.000.000;BRKM6
Nro. Ações;797.208.000;BRKM6
Dia;0,00%;BRKM6
P/L;-3,73;BRKM6
LPA;-5,06;BRKM6
Mês;0,00%;BRKM6
P/VP;1,92;BRKM6
VPA;9,82;BRKM6
30 dias;-8,00%;BRKM6
P/EBIT;7,47;BRKM6
Marg. Bruta;8,1%;BRKM6
12 meses;-21,09%;BRKM6
PSR;0,17;BRKM6
Marg. EBIT;2,3%;BRKM6
2023;-26,04%;BRKM6
P/Ativos;0,17;BRKM6
Marg. Líquida;5,1%;BRKM6
2022;-23,64%;BRKM6
P/Cap. Giro;1,20;BRKM6
EBIT / Ativo;2,2%;BRKM6
2021;88,05%;BRKM6
P/Ativ Circ Liq;0,32;BRKM6
ROIC;3,2%;BRKM6
2020;-24,67%;BRKM6
Div. Yield;0,0%;BRKM6
ROE;51,6%;BRKM6
2019;-48,75%;BRKM6
EV / EBITDA;5,38;BRKM6
Liquidez Corr;1,52;BRKM6
2018;6,00%;BRKM6
EV / EBIT;18,60;BRKM6
Div Br/ Patrim;4,94;BRKM6
Cres. Rec (5a);17,5%;BRKM6
Giro Ativos;0,99;BRKM6
Ativo;90.449.500.000;BRKM6
Dív. Bruta;38.637.200.000;BRKM6
Disponibilidades;16.211.500.000;BRKM6
Dív. Líquida;22.425.700.000;BRKM6
Ativo Circulante;36.636.700.000;BRKM6
Patrim. Líq;7.826.800.000;BRKM6
Relatorio 12 meses Lucro Líquido;-4.035.100.000;BRKM6
Relatorio 3 meses Lucro Líquido;184.442.000;BRKM6
Relatorio 12 meses EBIT;2.013.550.000;BRKM6
Relatorio 3 meses EBIT;-202.452.000;BRKM6
Relatorio 12 meses Receita Líquida;89.233.900.000;BRKM6
Relatorio 3 meses Receita Líquida;19.446.000.000;BRKM6
Papel;BRML3;BRML3
Cotação;8,26;BRML3
Tipo;ON;BRML3
Data últ cot;06/01/2023;BRML3
Empresa;BR MALLS PARTICIPAÇÔES S/A ON;BRML3
Min 52 sem;7,64;BRML3
Setor;Exploração de Imóveis;BRML3
Max 52 sem;10,44;BRML3
Subsetor;Exploração de Imóveis;BRML3
Vol $ méd (2m);0;BRML3
Valor de mercado;6.841.540.000;BRML3
Últ balanço processado;31/12/2022;BRML3
Valor da firma;8.712.370.000;BRML3
Nro. Ações;828.274.000;BRML3
Dia;0,00%;BRML3
P/L;11,94;BRML3
LPA;0,69;BRML3
Mês;0,00%;BRML3
P/VP;0,61;BRML3
VPA;13,43;BRML3
30 dias;0,00%;BRML3
P/EBIT;7,76;BRML3
Marg. Bruta;89,1%;BRML3
12 meses;9,40%;BRML3
PSR;4,73;BRML3
Marg. EBIT;61,0%;BRML3
2023;-0,48%;BRML3
P/Ativos;0,38;BRML3
Marg. Líquida;43,5%;BRML3
2022;0,45%;BRML3
P/Cap. Giro;18,14;BRML3
EBIT / Ativo;4,9%;BRML3
2021;-16,06%;BRML3
P/Ativ Circ Liq;1,25;BRML3
ROIC;5,1%;BRML3
2020;-45,12%;BRML3
Div. Yield;0,0%;BRML3
ROE;5,1%;BRML3
2019;47,31%;BRML3
EV / EBITDA;8,97;BRML3
Liquidez Corr;1,37;BRML3
2018;6,06%;BRML3
EV / EBIT;9,88;BRML3
Div Br/ Patrim;0,25;BRML3
Cres. Rec (5a);2,8%;BRML3
Giro Ativos;0,08;BRML3
Ativo;18.142.100.000;BRML3
Dív. Bruta;2.793.880.000;BRML3
Disponibilidades;923.052.000;BRML3
Dív. Líquida;1.870.820.000;BRML3
Ativo Circulante;1.410.130.000;BRML3
Patrim. Líq;11.125.900.000;BRML3
Relatorio 12 meses Lucro Líquido;572.920.000;BRML3
Relatorio 3 meses Lucro Líquido;217.020.000;BRML3
Relatorio 12 meses EBIT;881.961.000;BRML3
Relatorio 3 meses EBIT;221.885.000;BRML3
Relatorio 12 meses Receita Líquida;1.445.850.000;BRML3
Relatorio 3 meses Receita Líquida;437.225.000;BRML3
Papel;BRPR3;BRPR3
Cotação;93,12;BRPR3
Tipo;ON NM;BRPR3
Data últ cot;19/07/2023;BRPR3
Empresa;BR PROPERTIES ON NM;BRPR3
Min 52 sem;16,61;BRPR3
Setor;Exploração de Imóveis;BRPR3
Max 52 sem;105,46;BRPR3
Subsetor;Exploração de Imóveis;BRPR3
Vol $ méd (2m);5.742.820;BRPR3
Valor de mercado;1.081.220.000;BRPR3
Últ balanço processado;31/03/2023;BRPR3
Valor da firma;681.325.000;BRPR3
Nro. Ações;11.611.000;BRPR3
Dia;0,13%;BRPR3
P/L;-0,70;BRPR3
LPA;-132,31;BRPR3
Mês;17,03%;BRPR3
P/VP;0,58;BRPR3
VPA;160,38;BRPR3
30 dias;33,03%;BRPR3
P/EBIT;8,97;BRPR3
Marg. Bruta;100,0%;BRPR3
12 meses;415,47%;BRPR3
PSR;4,40;BRPR3
Marg. EBIT;49,1%;BRPR3
2023;368,71%;BRPR3
P/Ativos;0,23;BRPR3
Marg. Líquida;625,7%;BRPR3
2022;27,56%;BRPR3
P/Cap. Giro;2,02;BRPR3
EBIT / Ativo;2,5%;BRPR3
2021;-24,52%;BRPR3
P/Ativ Circ Liq;1,64;BRPR3
ROIC;2,8%;BRPR3
2020;-30,95%;BRPR3
Div. Yield;222,1%;BRPR3
ROE;82,5%;BRPR3
2019;76,59%;BRPR3
EV / EBITDA;5,54;BRPR3
Liquidez Corr;0,81;BRPR3
2018;-20,39%;BRPR3
EV / EBIT;5,65;BRPR3
Div Br/ Patrim;;BRPR3
Cres. Rec (5a);10,6%;BRPR3
Giro Ativos;0,05;BRPR3
Ativo;4.775.530.000;BRPR3
Dív. Bruta;0;BRPR3
Disponibilidades;399.891.000;BRPR3
Dív. Líquida;-399.891.000;BRPR3
Ativo Circulante;2.252.360.000;BRPR3
Patrim. Líq;1.862.150.000;BRPR3
Relatorio 12 meses Lucro Líquido;-1.536.250.000;BRPR3
Relatorio 3 meses Lucro Líquido;-43.722.000;BRPR3
Relatorio 12 meses EBIT;120.546.000;BRPR3
Relatorio 3 meses EBIT;12.072.000;BRPR3
Relatorio 12 meses Receita Líquida;245.507.000;BRPR3
Relatorio 3 meses Receita Líquida;31.074.000;BRPR3
Papel;BRSR3;BRSR3
Cotação;14,58;BRSR3
Tipo;ON;BRSR3
Data últ cot;19/07/2023;BRSR3
Empresa;BANRISUL S/A ON;BRSR3
Min 52 sem;9,70;BRSR3
Setor;Intermediários Financeiros;BRSR3
Max 52 sem;14,88;BRSR3
Subsetor;Bancos;BRSR3
Vol $ méd (2m);116.027;BRSR3
Valor de mercado;5.962.840.000;BRSR3
Últ balanço processado;31/03/2023;BRSR3
Valor da firma;-;BRSR3
Nro. Ações;408.974.000;BRSR3
Dia;0,61%;BRSR3
P/L;7,81;BRSR3
LPA;1,87;BRSR3
Mês;-1,22%;BRSR3
P/VP;0,63;BRSR3
VPA;23,16;BRSR3
30 dias;2,68%;BRSR3
P/EBIT;;BRSR3
Marg. Bruta;;BRSR3
12 meses;36,64%;BRSR3
PSR;;BRSR3
Marg. EBIT;;BRSR3
2023;43,33%;BRSR3
P/Ativos;;BRSR3
Marg. Líquida;0,0%;BRSR3
2022;-3,77%;BRSR3
P/Cap. Giro;;BRSR3
EBIT / Ativo;0,0%;BRSR3
2021;-19,77%;BRSR3
P/Ativ Circ Liq;;BRSR3
ROIC;;BRSR3
2020;-29,62%;BRSR3
Div. Yield;6,0%;BRSR3
ROE;8,1%;BRSR3
2019;12,69%;BRSR3
EV / EBITDA;;BRSR3
Liquidez Corr;;BRSR3
2018;-1,87%;BRSR3
EV / EBIT;;BRSR3
Div Br/ Patrim;;BRSR3
Cres. Rec (5a);2,9%;BRSR3
Giro Ativos;;BRSR3
Ativo;113.753.000.000;BRSR3
Depósitos;0;BRSR3
Cart. de Crédito;0;BRSR3
Patrim. Líq;9.471.470.000;BRSR3
Relatorio 12 meses Lucro Líquido;763.814.000;BRSR3
Relatorio 3 meses Lucro Líquido;212.973.000;BRSR3
Relatorio 12 meses Rec Serviços;909.007.000;BRSR3
Relatorio 3 meses Rec Serviços;213.908.000;BRSR3
Relatorio 12 meses Result Int Financ;4.845.340.000;BRSR3
Relatorio 3 meses Result Int Financ;1.188.230.000;BRSR3
Papel;BRSR5;BRSR5
Cotação;18,19;BRSR5
Tipo;PNA;BRSR5
Data últ cot;11/07/2023;BRSR5
Empresa;BANRISUL S/A PNA;BRSR5
Min 52 sem;13,36;BRSR5
Setor;Intermediários Financeiros;BRSR5
Max 52 sem;19,75;BRSR5
Subsetor;Bancos;BRSR5
Vol $ méd (2m);2.924;BRSR5
Valor de mercado;7.439.240.000;BRSR5
Últ balanço processado;31/03/2023;BRSR5
Valor da firma;-;BRSR5
Nro. Ações;408.974.000;BRSR5
Dia;0,00%;BRSR5
P/L;9,74;BRSR5
LPA;1,87;BRSR5
Mês;-1,20%;BRSR5
P/VP;0,79;BRSR5
VPA;23,16;BRSR5
30 dias;-7,90%;BRSR5
P/EBIT;;BRSR5
Marg. Bruta;;BRSR5
12 meses;10,00%;BRSR5
PSR;;BRSR5
Marg. EBIT;;BRSR5
2023;7,46%;BRSR5
P/Ativos;;BRSR5
Marg. Líquida;0,0%;BRSR5
2022;9,64%;BRSR5
P/Cap. Giro;;BRSR5
EBIT / Ativo;0,0%;BRSR5
2021;-10,08%;BRSR5
P/Ativ Circ Liq;;BRSR5
ROIC;;BRSR5
2020;-18,25%;BRSR5
Div. Yield;4,9%;BRSR5
ROE;8,1%;BRSR5
2019;8,78%;BRSR5
EV / EBITDA;;BRSR5
Liquidez Corr;;BRSR5
2018;37,06%;BRSR5
EV / EBIT;;BRSR5
Div Br/ Patrim;;BRSR5
Cres. Rec (5a);2,9%;BRSR5
Giro Ativos;;BRSR5
Ativo;113.753.000.000;BRSR5
Depósitos;0;BRSR5
Cart. de Crédito;0;BRSR5
Patrim. Líq;9.471.470.000;BRSR5
Relatorio 12 meses Lucro Líquido;763.814.000;BRSR5
Relatorio 3 meses Lucro Líquido;212.973.000;BRSR5
Relatorio 12 meses Rec Serviços;909.007.000;BRSR5
Relatorio 3 meses Rec Serviços;213.908.000;BRSR5
Relatorio 12 meses Result Int Financ;4.845.340.000;BRSR5
Relatorio 3 meses Result Int Financ;1.188.230.000;BRSR5
Papel;BRSR6;BRSR6
Cotação;14,79;BRSR6
Tipo;PNB;BRSR6
Data últ cot;19/07/2023;BRSR6
Empresa;BANRISUL S/A PNB;BRSR6
Min 52 sem;8,67;BRSR6
Setor;Intermediários Financeiros;BRSR6
Max 52 sem;15,18;BRSR6
Subsetor;Bancos;BRSR6
Vol $ méd (2m);25.958.500;BRSR6
Valor de mercado;6.048.730.000;BRSR6
Últ balanço processado;31/03/2023;BRSR6
Valor da firma;-;BRSR6
Nro. Ações;408.974.000;BRSR6
Dia;0,67%;BRSR6
P/L;7,92;BRSR6
LPA;1,87;BRSR6
Mês;-0,80%;BRSR6
P/VP;0,64;BRSR6
VPA;23,16;BRSR6
30 dias;4,08%;BRSR6
P/EBIT;;BRSR6
Marg. Bruta;;BRSR6
12 meses;69,22%;BRSR6
PSR;;BRSR6
Marg. EBIT;;BRSR6
2023;61,10%;BRSR6
P/Ativos;;BRSR6
Marg. Líquida;0,0%;BRSR6
2022;8,20%;BRSR6
P/Cap. Giro;;BRSR6
EBIT / Ativo;0,0%;BRSR6
2021;-28,88%;BRSR6
P/Ativ Circ Liq;;BRSR6
ROIC;;BRSR6
2020;-30,07%;BRSR6
Div. Yield;6,0%;BRSR6
ROE;8,1%;BRSR6
2019;2,32%;BRSR6
EV / EBITDA;;BRSR6
Liquidez Corr;;BRSR6
2018;66,22%;BRSR6
EV / EBIT;;BRSR6
Div Br/ Patrim;;BRSR6
Cres. Rec (5a);2,9%;BRSR6
Giro Ativos;;BRSR6
Ativo;113.753.000.000;BRSR6
Depósitos;0;BRSR6
Cart. de Crédito;0;BRSR6
Patrim. Líq;9.471.470.000;BRSR6
Relatorio 12 meses Lucro Líquido;763.814.000;BRSR6
Relatorio 3 meses Lucro Líquido;212.973.000;BRSR6
Relatorio 12 meses Rec Serviços;909.007.000;BRSR6
Relatorio 3 meses Rec Serviços;213.908.000;BRSR6
Relatorio 12 meses Result Int Financ;4.845.340.000;BRSR6
Relatorio 3 meses Result Int Financ;1.188.230.000;BRSR6
Papel;BSLI3;BSLI3
Cotação;14,20;BSLI3
Tipo;ON;BSLI3
Data últ cot;19/07/2023;BSLI3
Empresa;BRB ON;BSLI3
Min 52 sem;12,57;BSLI3
Setor;Intermediários Financeiros;BSLI3
Max 52 sem;23,11;BSLI3
Subsetor;Bancos;BSLI3
Vol $ méd (2m);4.329;BSLI3
Valor de mercado;5.155.270.000;BSLI3
Últ balanço processado;31/03/2023;BSLI3
Valor da firma;-;BSLI3
Nro. Ações;363.047.000;BSLI3
Dia;4,95%;BSLI3
P/L;16,87;BSLI3
LPA;0,84;BSLI3
Mês;-9,96%;BSLI3
P/VP;2,26;BSLI3
VPA;6,29;BSLI3
30 dias;-16,22%;BSLI3
P/EBIT;;BSLI3
Marg. Bruta;;BSLI3
12 meses;-28,45%;BSLI3
PSR;;BSLI3
Marg. EBIT;;BSLI3
2023;-20,91%;BSLI3
P/Ativos;;BSLI3
Marg. Líquida;0,0%;BSLI3
2022;-24,46%;BSLI3
P/Cap. Giro;;BSLI3
EBIT / Ativo;0,0%;BSLI3
2021;82,11%;BSLI3
P/Ativ Circ Liq;;BSLI3
ROIC;;BSLI3
2020;213,64%;BSLI3
Div. Yield;316,1%;BSLI3
ROE;13,4%;BSLI3
2019;66,45%;BSLI3
EV / EBITDA;;BSLI3
Liquidez Corr;;BSLI3
2018;-3,93%;BSLI3
EV / EBIT;;BSLI3
Div Br/ Patrim;;BSLI3
Cres. Rec (5a);1,6%;BSLI3
Giro Ativos;;BSLI3
Ativo;41.427.300.000;BSLI3
Depósitos;0;BSLI3
Cart. de Crédito;0;BSLI3
Patrim. Líq;2.283.600.000;BSLI3
Relatorio 12 meses Lucro Líquido;305.609.000;BSLI3
Relatorio 3 meses Lucro Líquido;69.989.000;BSLI3
Relatorio 12 meses Rec Serviços;287.452.000;BSLI3
Relatorio 3 meses Rec Serviços;72.079.000;BSLI3
Relatorio 12 meses Result Int Financ;1.760.760.000;BSLI3
Relatorio 3 meses Result Int Financ;376.483.000;BSLI3
Papel;BSLI4;BSLI4
Cotação;12,00;BSLI4
Tipo;ON;BSLI4
Data últ cot;19/07/2023;BSLI4
Empresa;BRB ON;BSLI4
Min 52 sem;10,76;BSLI4
Setor;Intermediários Financeiros;BSLI4
Max 52 sem;16,63;BSLI4
Subsetor;Bancos;BSLI4
Vol $ méd (2m);9.085;BSLI4
Valor de mercado;4.356.560.000;BSLI4
Últ balanço processado;31/03/2023;BSLI4
Valor da firma;-;BSLI4
Nro. Ações;363.047.000;BSLI4
Dia;2,28%;BSLI4
P/L;14,26;BSLI4
LPA;0,84;BSLI4
Mês;-3,15%;BSLI4
P/VP;1,91;BSLI4
VPA;6,29;BSLI4
30 dias;-2,36%;BSLI4
P/EBIT;;BSLI4
Marg. Bruta;;BSLI4
12 meses;-13,38%;BSLI4
PSR;;BSLI4
Marg. EBIT;;BSLI4
2023;-16,31%;BSLI4
P/Ativos;;BSLI4
Marg. Líquida;0,0%;BSLI4
2022;-16,45%;BSLI4
P/Cap. Giro;;BSLI4
EBIT / Ativo;0,0%;BSLI4
2021;101,20%;BSLI4
P/Ativ Circ Liq;;BSLI4
ROIC;;BSLI4
2020;138,69%;BSLI4
Div. Yield;411,5%;BSLI4
ROE;13,4%;BSLI4
2019;42,72%;BSLI4
EV / EBITDA;;BSLI4
Liquidez Corr;;BSLI4
2018;23,62%;BSLI4
EV / EBIT;;BSLI4
Div Br/ Patrim;;BSLI4
Cres. Rec (5a);1,6%;BSLI4
Giro Ativos;;BSLI4
Ativo;41.427.300.000;BSLI4
Depósitos;0;BSLI4
Cart. de Crédito;0;BSLI4
Patrim. Líq;2.283.600.000;BSLI4
Relatorio 12 meses Lucro Líquido;305.609.000;BSLI4
Relatorio 3 meses Lucro Líquido;69.989.000;BSLI4
Relatorio 12 meses Rec Serviços;287.452.000;BSLI4
Relatorio 3 meses Rec Serviços;72.079.000;BSLI4
Relatorio 12 meses Result Int Financ;1.760.760.000;BSLI4
Relatorio 3 meses Result Int Financ;376.483.000;BSLI4
Papel;CALI3;CALI3
Cotação;14,50;CALI3
Tipo;ON;CALI3
Data últ cot;19/07/2023;CALI3
Empresa;CAL S/A ON;CALI3
Min 52 sem;6,79;CALI3
Setor;Construção Civil;CALI3
Max 52 sem;14,74;CALI3
Subsetor;Incorporações;CALI3
Vol $ méd (2m);505;CALI3
Valor de mercado;53.954.500;CALI3
Últ balanço processado;31/03/2023;CALI3
Valor da firma;112.028.000;CALI3
Nro. Ações;3.721.000;CALI3
Dia;0,21%;CALI3
P/L;4,30;CALI3
LPA;3,37;CALI3
Mês;7,41%;CALI3
P/VP;1,94;CALI3
VPA;7,46;CALI3
30 dias;30,51%;CALI3
P/EBIT;3,64;CALI3
Marg. Bruta;23,1%;CALI3
12 meses;94,02%;CALI3
PSR;0,33;CALI3
Marg. EBIT;8,9%;CALI3
2023;80,87%;CALI3
P/Ativos;0,26;CALI3
Marg. Líquida;7,6%;CALI3
2022;0,00%;CALI3
P/Cap. Giro;1,31;CALI3
EBIT / Ativo;7,0%;CALI3
2021;0,00%;CALI3
P/Ativ Circ Liq;0,64;CALI3
ROIC;8,2%;CALI3
2020;0,00%;CALI3
Div. Yield;3,1%;CALI3
ROE;45,2%;CALI3
2019;0,00%;CALI3
EV / EBITDA;7,37;CALI3
Liquidez Corr;1,72;CALI3
2018;0,00%;CALI3
EV / EBIT;7,55;CALI3
Div Br/ Patrim;2,91;CALI3
Cres. Rec (5a);142,3%;CALI3
Giro Ativos;0,79;CALI3
Ativo;210.622.000;CALI3
Dív. Bruta;80.819.000;CALI3
Disponibilidades;22.745.000;CALI3
Dív. Líquida;58.074.000;CALI3
Ativo Circulante;98.069.000;CALI3
Patrim. Líq;27.760.000;CALI3
Relatorio 12 meses Lucro Líquido;12.557.000;CALI3
Relatorio 3 meses Lucro Líquido;4.109.000;CALI3
Relatorio 12 meses EBIT;14.839.000;CALI3
Relatorio 3 meses EBIT;2.885.000;CALI3
Relatorio 12 meses Receita Líquida;165.862.000;CALI3
Relatorio 3 meses Receita Líquida;34.922.000;CALI3
Papel;CALI4;CALI4
Cotação;50,00;CALI4
Tipo;PN;CALI4
Data últ cot;22/12/2020;CALI4
Empresa;CAL S/A PN;CALI4
Min 52 sem;0,00;CALI4
Setor;Construção Civil;CALI4
Max 52 sem;0,00;CALI4
Subsetor;Incorporações;CALI4
Vol $ méd (2m);0;CALI4
Valor de mercado;186.050.000;CALI4
Últ balanço processado;31/03/2023;CALI4
Valor da firma;244.124.000;CALI4
Nro. Ações;3.721.000;CALI4
Dia;0,00%;CALI4
P/L;14,82;CALI4
LPA;3,37;CALI4
Mês;0,00%;CALI4
P/VP;6,70;CALI4
VPA;7,46;CALI4
30 dias;0,00%;CALI4
P/EBIT;12,54;CALI4
Marg. Bruta;23,1%;CALI4
12 meses;0,00%;CALI4
PSR;1,12;CALI4
Marg. EBIT;8,9%;CALI4
2023;0,00%;CALI4
P/Ativos;0,88;CALI4
Marg. Líquida;7,6%;CALI4
2022;0,00%;CALI4
P/Cap. Giro;4,52;CALI4
EBIT / Ativo;7,0%;CALI4
2021;0,00%;CALI4
P/Ativ Circ Liq;2,19;CALI4
ROIC;8,2%;CALI4
2020;-0,16%;CALI4
Div. Yield;0,0%;CALI4
ROE;45,2%;CALI4
2019;-30,65%;CALI4
EV / EBITDA;16,06;CALI4
Liquidez Corr;1,72;CALI4
2018;-22,45%;CALI4
EV / EBIT;16,45;CALI4
Div Br/ Patrim;2,91;CALI4
Cres. Rec (5a);142,3%;CALI4
Giro Ativos;0,79;CALI4
Ativo;210.622.000;CALI4
Dív. Bruta;80.819.000;CALI4
Disponibilidades;22.745.000;CALI4
Dív. Líquida;58.074.000;CALI4
Ativo Circulante;98.069.000;CALI4
Patrim. Líq;27.760.000;CALI4
Relatorio 12 meses Lucro Líquido;12.557.000;CALI4
Relatorio 3 meses Lucro Líquido;4.109.000;CALI4
Relatorio 12 meses EBIT;14.839.000;CALI4
Relatorio 3 meses EBIT;2.885.000;CALI4
Relatorio 12 meses Receita Líquida;165.862.000;CALI4
Relatorio 3 meses Receita Líquida;34.922.000;CALI4
Papel;CAMB3;CAMB3
Cotação;8,59;CAMB3
Tipo;ON;CAMB3
Data últ cot;19/07/2023;CAMB3
Empresa;PENALTY ON;CAMB3
Min 52 sem;4,26;CAMB3
Setor;Tecidos, Vestuário e Calçados;CAMB3
Max 52 sem;9,80;CAMB3
Subsetor;Calçados;CAMB3
Vol $ méd (2m);688.003;CAMB3
Valor de mercado;363.142.000;CAMB3
Últ balanço processado;31/03/2023;CAMB3
Valor da firma;449.588.000;CAMB3
Nro. Ações;42.275.000;CAMB3
Dia;1,15%;CAMB3
P/L;5,23;CAMB3
LPA;1,64;CAMB3
Mês;-6,53%;CAMB3
P/VP;1,94;CAMB3
VPA;4,42;CAMB3
30 dias;-6,02%;CAMB3
P/EBIT;3,40;CAMB3
Marg. Bruta;45,9%;CAMB3
12 meses;100,32%;CAMB3
PSR;0,77;CAMB3
Marg. EBIT;22,5%;CAMB3
2023;34,43%;CAMB3
P/Ativos;0,94;CAMB3
Marg. Líquida;14,6%;CAMB3
2022;35,90%;CAMB3
P/Cap. Giro;4,41;CAMB3
EBIT / Ativo;27,7%;CAMB3
2021;-13,05%;CAMB3
P/Ativ Circ Liq;25,86;CAMB3
ROIC;30,3%;CAMB3
2020;-17,51%;CAMB3
Div. Yield;2,9%;CAMB3
ROE;37,1%;CAMB3
2019;5,38%;CAMB3
EV / EBITDA;3,98;CAMB3
Liquidez Corr;1,80;CAMB3
2018;0,00%;CAMB3
EV / EBIT;4,21;CAMB3
Div Br/ Patrim;0,51;CAMB3
Cres. Rec (5a);17,5%;CAMB3
Giro Ativos;1,23;CAMB3
Ativo;385.904.000;CAMB3
Dív. Bruta;95.559.000;CAMB3
Disponibilidades;9.113.000;CAMB3
Dív. Líquida;86.446.000;CAMB3
Ativo Circulante;185.568.000;CAMB3
Patrim. Líq;186.856.000;CAMB3
Relatorio 12 meses Lucro Líquido;69.398.000;CAMB3
Relatorio 3 meses Lucro Líquido;20.249.000;CAMB3
Relatorio 12 meses EBIT;106.784.000;CAMB3
Relatorio 3 meses EBIT;28.652.000;CAMB3
